PC1,PC2,ID,Label
-0.16765871791727682,-0.021558136944501708,1,sport
-0.12641875968906768,0.06259065399704532,2,sport
-0.15905117237160396,0.13971906888288757,3,sport
-0.11273915535069622,0.06486065570529609,4,sport
-0.11092998804699646,0.07550791505665225,5,sport
-0.16358336733550105,0.12865356692437316,6,sport
-0.2742873886145259,0.10366201413291218,7,sport
-0.0993630528581142,0.05658931582258647,8,sport
-0.1709933909478704,-0.05726111804560776,9,sport
-0.06482344747947791,0.04599519297458311,10,sport
-0.0074007065560931125,-0.022140693571172983,11,sport
-0.15113198636964292,0.06716162959544958,12,sport
0.02560360844217071,-0.03860554309325767,13,sport
0.021326133819932033,-0.03450965431073687,14,sport
-0.06992076987047892,0.041741885831186105,15,sport
-0.1447126710045861,0.07420659937646645,16,sport
-0.061366745108078546,0.06193195646800204,17,sport
-0.1550439808207448,-0.045355893294813855,18,sport
-0.2614926089667811,0.043253336955924815,19,sport
-0.2280898547330076,0.0970046419560106,20,sport
-0.18391222337473592,0.0016328499140339202,21,sport
-0.22962393456241542,0.09154164917409612,22,sport
-0.2396788341073579,-0.002663953968366894,23,sport
-0.08748807025483664,0.05370706721644967,24,sport
-0.24472201870120233,0.1278923865619672,25,sport
-0.33997083415887835,0.1135533206694842,26,sport
-0.1979420780871585,0.040502278375136355,27,sport
-0.17944820902701766,0.026976151476429275,28,sport
-0.2512567949260821,0.03217050597637508,29,sport
-0.257950544716157,-0.016679218517744968,30,sport
-0.171913245239838,0.1322950473932795,31,sport
-0.15235131546424618,0.13749062244249532,32,sport
-0.25689062875602453,0.13306347819300648,33,sport
-0.31387090210696306,0.14130121465826126,34,sport
0.004442195857500144,0.0015584658719755321,35,sport
-0.06844048547984775,0.03551766668459046,36,sport
-0.2630160371260335,0.1610749162350531,37,sport
-0.27661858507019593,0.18324983655147767,38,sport
-0.25730786412040096,0.0759592520066685,39,sport
-0.2472060563363964,0.17965611145103094,40,sport
-0.23925434749787064,0.020523014126468415,41,sport
-0.10761032244970271,0.08462809993215958,42,sport
-0.22003534812567563,0.008922334523758246,43,sport
-0.18670463844795115,0.10153346614762213,44,sport
-0.21893879270568012,0.097262585709643,45,sport
-0.20179565496855337,0.15867973111893396,46,sport
-0.28174448918083633,0.0046182961337690774,47,sport
-0.26214581453658203,0.1688935228357864,48,sport
-0.2527528400046545,0.17587956163139082,49,sport
-0.1719985031817519,0.04791300889059314,50,sport
-0.24948165179309242,0.05510141818947248,51,sport
-0.2937311162891978,0.12926456435193562,52,sport
-0.31366241130991157,0.16881521615482037,53,sport
-0.24536723714958972,0.03462012204285917,54,sport
-0.07872639350048471,0.04248462800456846,55,sport
-0.25723511538314864,0.02838811075527886,56,sport
-0.1832217598717663,0.014721857298346252,57,sport
-0.18823741883573558,-0.0022412892286970054,58,sport
-0.19830635685812784,-0.017367765831246544,59,sport
-0.13236911864393983,0.1150528778554573,60,sport
-0.0578829008460393,0.04140276575699338,61,sport
-0.10384749895125216,0.07739478691760758,62,sport
-0.23266654259013142,0.16622801687463318,63,sport
-0.28256723013790713,0.1517157962037701,64,sport
-0.18552779664722696,0.10069350477635419,65,sport
-0.20345202821953365,-0.05524438538800803,66,sport
-0.2627576700559522,-0.06276180588502236,67,sport
-0.365150275949143,0.06845558509201197,68,sport
-0.19017132457592117,0.01227533602597668,69,sport
-0.20340926336216994,-0.006836324085465828,70,sport
-0.16821988474352162,-0.005825795267571239,71,sport
-0.17974286077010906,-0.0639532516148508,72,sport
-0.16111558003055754,-0.07320258501110083,73,sport
-0.14731981969889227,-0.046156493437814715,74,sport
0.011484056548301466,-0.07824934630957711,75,sport
-0.19826275515847883,-0.10750808680587325,76,sport
-0.0884247980465599,-0.12168234103142729,77,sport
-0.12636773945779775,-0.06524377039011559,78,sport
-0.22930731196028148,-0.10524318108913387,79,sport
0.045898034715633376,-0.06703652545902017,80,sport
0.005498221312093696,-0.012896040945945762,81,sport
-0.2623124947712135,0.06401020917292471,82,sport
-0.1654586779574121,-0.02961278965070936,83,sport
-0.1364821518819188,-0.056023841503577296,84,sport
-0.15630847380605742,0.01477777811908956,85,sport
-0.09794124641204259,-0.061480847029703835,86,sport
-0.281898688427873,0.076386980573231,87,sport
-0.056616763940467156,-0.04044782814429867,88,sport
-0.21474357443443196,-0.07062497503499351,89,sport
-0.19035214386305793,-0.05977732612439569,90,sport
0.021637376445756553,-0.015848900640159598,91,sport
-0.19527278285002472,-0.08046473568014753,92,sport
-0.23082543480006687,-0.07078528340955506,93,sport
-0.18676892444071885,-0.04361682070100579,94,sport
-0.2214225863158241,0.0021159630921599574,95,sport
-0.07333521901097387,-0.03754939573782769,96,sport
-0.11499660085626466,-0.06097229619508505,97,sport
-0.06269062037427152,-0.06288537220463415,98,sport
-0.1374549792239176,-0.0910881741157241,99,sport
-0.08576526385537646,-0.05339496072369564,100,sport
0.43590881748734983,0.6322594060981425,101,finance
0.32158464287416144,0.22045727251521033,102,finance
0.4068166606470314,0.5872612718989833,103,finance
0.2248303405068367,-0.08436608339430364,104,finance
0.2619617245365449,-0.25575666198425506,105,finance
0.2294267693315851,0.0468577158427857,106,finance
0.2795526201049048,-0.0013335433775990848,107,finance
0.2576633430817539,-0.031490170645162234,108,finance
0.16642573074202635,-0.1684445304946065,109,finance
0.09334191389418262,-0.04720142571364132,110,finance
0.048127927621779254,-0.01581694484701452,111,finance
0.0756064696021874,-0.02104636365522599,112,finance
0.10067665557413537,-0.06690809306917159,113,finance
0.08099803515694726,-0.0572898518526736,114,finance
0.08052453697800303,-0.026752203951871417,115,finance
0.09113832500102341,-0.03567726034720003,116,finance
0.09602251377534206,-0.04678167170590431,117,finance
0.0902736664315076,-0.04399751285003343,118,finance
0.0827497277499647,-0.019558373278109747,119,finance
0.20108358664256296,0.05592702562037174,120,finance
0.13185776474027266,-0.25161174168199757,121,finance
0.12098348783369986,-0.11096089904469791,122,finance
0.1820409603039845,0.15947499762758297,123,finance
0.10196042016792341,-0.021667211720513526,124,finance
0.23807680347038157,0.07951313932504864,125,finance
0.25979978436515805,-0.23731449322203296,126,finance
0.13495669885081837,-0.27361259636380264,127,finance
0.17440182272946994,-0.36896442009172903,128,finance
0.07863156396528286,-0.0599077284874616,129,finance
0.12265510851514357,-0.05486782615589036,130,finance
0.11866960475103626,-0.12421748364684086,131,finance
0.21957746296732814,0.05242963013811164,132,finance
0.4460046273181851,0.6104437997755224,133,finance
0.1612318258136178,-0.21298875168462506,134,finance
0.16208365774881317,-0.0763337136942008,135,finance
0.24741806056630844,-0.22537060378616727,136,finance
0.25466214036938706,0.08432921664459438,137,finance
0.16163601569723066,-0.028821881222040654,138,finance
0.19969357490157297,0.19510538525031057,139,finance
